feedline_width_fw_mm,patch_length_pl_mm,patch_width_pw_mm,resonant_frequency_ghz,minimum_s11_db,bandwidth_ghz,z_real,z_imaginary
0.4,2.45,2.95,39.289,-25.766,1.365,62.973554,1.4284116
0.4,2.45,2.99,39.232,-30.086,1.368,65.557081,0.99485308
0.4,2.45,3.03,39.175,-37.281,1.359001,67.832519,0.40962177
0.4,2.45,3.07,39.124,-44.14,1.347,70.51716,-0.18732403
0.4,2.45,3.11,39.07,-32.343,1.335003,73.002861,-0.85954217
0.4,2.45,3.15,39.022,-27.006,1.313999,75.955383,-1.6431753
0.4,2.45,3.19,38.971,-24.021,1.289997,78.661751,-2.4479769
0.4,2.45,3.23,38.914,-21.871,1.263001,81.406618,-3.1919336
0.4,2.45,3.27,38.863,-19.977,1.230004,84.495239,-4.3329616
0.4,2.45,3.31,38.815,-18.184,1.188,88.289666,-5.6587911
0.4,2.46,2.95,39.157,-24.739,1.368,62.154904,1.4666138
0.4,2.46,2.99,39.097,-28.436,1.368,64.666069,0.8942735
0.4,2.46,3.03,39.043,-33.834,1.362004,66.945474,0.55519489
0.4,2.46,3.07,38.992,-65.405,1.353001,69.597334,0.026616208
0.4,2.46,3.11,38.938,-35.236,1.341,72.049433,-0.58070841
0.4,2.46,3.15,38.89,-28.468,1.323001,74.970665,-1.2778517
0.4,2.46,3.19,38.842,-25.05,1.301998,77.693703,-1.7895077
0.4,2.46,3.23,38.782,-22.677,1.275001,80.347984,-2.6649552
0.4,2.46,3.27,38.734,-20.625,1.245,83.474217,-3.4801203
0.4,2.46,3.31,38.686,-18.715,1.202999,87.242464,-4.6605665
0.4,2.47,2.95,39.022,-23.841,1.368,61.32717,1.245565
0.4,2.47,2.99,38.965,-27.081,1.368,63.836108,0.91406845
0.4,2.47,3.03,38.911,-31.423,1.365001,66.077096,0.62144734
0.4,2.47,3.07,38.86,-42.945,1.359001,68.693991,0.15658384
0.4,2.47,3.11,38.809,-39.479,1.344002,71.150239,-0.18648479
0.4,2.47,3.15,38.761,-30.188,1.332001,74.040643,-0.80009686
0.4,2.47,3.19,38.71,-26.191,1.311001,76.679103,-1.4470003
0.4,2.47,3.23,38.653,-23.544,1.284,79.350411,-2.0291637
0.4,2.47,3.27,38.605,-21.311,1.254001,82.443407,-2.7411783
0.4,2.47,3.31,38.557,-19.268,1.217998,86.181099,-3.7864299
0.4,2.48,2.95,38.89,-23.046,1.365001,60.553728,1.1499231
0.4,2.48,2.99,38.833,-25.934,1.368,63.027466,0.86581588
0.4,2.48,3.03,38.779,-29.576,1.365001,65.230857,0.61484126
0.4,2.48,3.07,38.728,-37.343,1.362004,67.812079,0.20774699
0.4,2.48,3.11,38.677,-47.857,1.349998,70.226945,-0.081507659
0.4,2.48,3.15,38.629,-32.278,1.334999,73.082802,-0.62165771
0.4,2.48,3.19,38.581,-27.472,1.32,75.722376,-0.98561463
0.4,2.48,3.23,38.524,-24.485,1.296002,78.355513,-1.4946513
0.4,2.48,3.27,38.473,-22.039,1.269001,81.366112,-2.332707
0.4,2.48,3.31,38.425,-19.845,1.236,85.064637,-3.2530469
0.4,2.49,2.95,38.761,-22.329,1.361999,59.81514,1.1407535
0.4,2.49,2.99,38.704,-24.937,1.368,62.254949,0.90334112
0.4,2.49,3.03,38.65,-28.078,1.368,64.422843,0.69426731
0.4,2.49,3.07,38.599,-34.027,1.365002,66.971362,0.34439138
0.4,2.49,3.11,38.548,-52.281,1.355999,69.345728,0.10628475
0.4,2.49,3.15,38.5,-34.976,1.343998,72.169351,-0.3614493
0.4,2.49,3.19,38.452,-28.949,1.326001,74.763284,-0.65955955
0.4,2.49,3.23,38.395,-25.523,1.305,77.356488,-1.1018641
